State,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Max CIR Downstream Speed (mbps),Max CIR Upstream Speed (mbps)
AK,68.417805610479486,5.168614403114187,12.643134994438952,9.026020807587741
AL,46.526628195269176,11.64443813611446,8.364268359182186,5.890953373909077
AR,32.092687810111038,7.024608493335536,14.187173883102693,8.295491325349643
AS,4.916436493738819,4.912,4.930704830053667,4.924188431723315
AZ,36.070985251832995,8.500237053159185,55.629490233504847,45.531177249345578
CA,36.192152762046092,6.822834954315756,23.48137474531805,19.109966975098146
CO,39.603592127093405,13.639076828129772,113.089245581952649,110.151492395862696
CT,45.168841450509743,4.496742203295049,50.883954316686024,47.660741523637459
DC,99.140306615519214,43.040918500572044,29.208939228750252,23.91405065392467
DE,73.801709087967763,43.463950497452075,30.622664048884869,28.277592552557852
FL,52.460351168256804,12.76465017170556,50.46642258605414,47.191526685020978
GA,54.772408533939956,12.760990314138457,23.394477667047078,19.972717272844091
GU,32.178737233054782,1.512883008356546,0.257660167130919,0.025766016713092
HI,55.425966568755512,5.197959116014773,8.062060139108986,5.845923629299084
IA,75.092669265422506,13.923913822064036,72.920008496584831,68.536257044885402
ID,44.585681153212712,7.918840008613014,81.174573833896865,77.217217435533338
IL,74.677096065821566,7.055893409411797,71.198189123252937,68.972279214911951
IN,53.174446646761288,7.84762077136286,54.942719217766434,42.67843092580795
KS,40.108554716272989,23.175124449531508,33.125597547024783,28.669474057531453
KY,44.372468868708452,13.306728568884819,26.303266468677927,22.748202569614028
LA,37.570337420308398,9.159689408131301,15.337715461825241,9.891258289470782
MA,64.345949124394911,31.485184856916707,28.878421852636898,26.378855020750062
MD,59.095187005998371,32.069590544543457,16.366966080817556,12.154152543753548
ME,17.209638817021791,3.199716515883086,11.10926457162632,7.823814593873078
MI,44.488475944590871,11.864640713545425,29.861694528606043,25.814026367115964
MN,52.984595219371529,20.569759828881253,29.614255166242606,21.565634438652906
MO,41.901663199829321,20.278659310759187,36.380279343345098,33.309200449276097
MP,9.11158357771261,1.047796676441838,7.711876832844575,1.884897360703812
MS,25.980474820254968,5.132090715682458,7.408831383223356,4.158527263122022
MT,15.285466899203026,5.753760259581846,8.197878558457311,5.252459470831306
NC,61.005140991617219,14.824420836714585,12.244741775464688,8.595129065887875
ND,106.013975577517665,71.879605231571062,29.143661642761904,14.03551131897023
NE,26.955931006777238,11.867218816916189,81.673325345439395,77.424166371393839
NH,35.253956788756514,5.169645260345158,20.884199182130889,14.560703515065621
NJ,82.701209278665013,50.228076227679898,35.529600006338968,33.237670273803817
NM,20.278760489605569,4.807582565137981,48.373665505309386,45.500094958236459
NV,36.832130912306186,15.850820248207914,65.014672148714224,60.70412758602541
NY,73.749885801011742,41.22970316797827,28.935093491956439,25.896769954441005
OH,24.99902829594378,3.887183028064197,19.830492229141982,16.462666196645222
OK,28.638298722530167,4.958933976235445,42.393604722907138,37.043492282994893
OR,35.641626072773334,13.81181202564592,34.96082773333796,32.236783998195416
PA,76.504017164974304,45.235977669461043,30.537757515181815,24.653762503023227
PR,43.507821859334473,6.37620440815567,293.717503202019145,290.082954501785361
RI,126.884733242208857,83.08186984691088,50.980265308911974,36.361829141607436
SC,32.252978701019358,9.703526371418997,7.10029453848312,4.415183157205649
SD,58.036747541249607,30.239423264068474,40.617755015364021,21.954615327512246
TN,56.530086147790801,20.073682235196584,18.177686199350155,15.331324110407453
TX,37.618246432551034,9.6178274172157,72.049904749449552,69.109434660481086
UT,53.016287682730941,24.758223343260774,107.182860667879547,103.204701621481901
VA,51.118903539800177,25.366706522522904,29.190637238123652,24.192965791435654
VI,31.21631360559074,4.200090475150532,155.782859638723364,141.202695535519296
VT,38.992266826999819,17.8103938449096,23.283557863596216,20.724762809803024
WA,43.429447782896103,22.893896160201596,124.414805638192277,121.989087406930368
WI,27.639732662236948,6.82105053862727,21.097808183513479,18.538825877042106
WV,26.050314212162964,2.802655747390858,13.076494375896594,9.527461859833454
WY,18.640178306320458,7.115498461183843,22.169809528281349,19.185609870619923
